diseaseNID,diseaseId,diseaseName,type
899,C0013575,Ectodermal Dysplasia,disease
900,C0013581,Ectopia Lentis,disease
902,C0013592,Ectropion,disease
903,C0013595,Eczema,disease
904,C0013604,Edema,phenotype
910,C0013884,Filarial Elephantiases,disease
912,C0013903,Ellis-Van Creveld Syndrome,disease
918,C0013949,Embryopathies,disease
920,C0013990,Pathological accumulation of air in tissues,phenotype
924,C0014038,Encephalitis,disease
926,C0014057,Japanese Encephalitis,disease
929,C0014061,Tick-Borne Encephalitis,disease
930,C0014065,Congenital cerebral hernia,disease
931,C0014067,Occipital Encephalocele,disease
934,C0014072,Experimental Autoimmune Encephalomyelitis,disease
936,C0014078,Venezuelan equine encephalomyelitis,disease
937,C0014084,Enchondromatosis,disease
940,C0014118,Endocarditis,disease
948,C0014170,Endometrial Neoplasms,group
950,C0014175,Endometriosis,disease
955,C0014335,Enteritis,disease
959,C0014378,Enterovirus Infections,group
962,C0014457,Eosinophilia,disease
963,C0014458,"Eosinophilia, Tropical",disease
967,C0014511,Epithelial cyst,phenotype
968,C0014518,Toxic Epidermal Necrolysis,disease
969,C0014522,Epidermodysplasia Verruciformis,disease
970,C0014527,Epidermolysis Bullosa,disease
974,C0014544,Epilepsy,disease
975,C0014547,"Epilepsies, Partial",disease
976,C0014548,"Epilepsy, Generalized",disease
977,C0014549,Tonic-Clonic Epilepsy,disease
979,C0014553,Absence Epilepsy,disease
980,C0014556,"Epilepsy, Temporal Lobe",disease
981,C0014558,Uncinate Epilepsy,disease
984,C0014583,Episcleritis,disease
985,C0014588,Epispadias,group
986,C0014591,Epistaxis,phenotype
996,C0014772,Red Blood Cell Count measurement,phenotype
999,C0014804,Erythromelalgia,disease
1000,C0014805,Primary Erythermalgia,disease
1005,C0014850,Esophageal Atresia,disease
1010,C0014859,Esophageal Neoplasms,group
1012,C0014866,Esophageal Stenosis,disease
1013,C0014867,Esophageal Varices,disease
1014,C0014868,Esophagitis,disease
1015,C0014869,Peptic Esophagitis,disease
1016,C0014877,Esotropia,disease
1018,C0015230,Exanthema,phenotype
1023,C0015300,Exophthalmos,disease
1025,C0015306,Hereditary Multiple Exostoses,disease
1026,C0015310,Exotropia,disease
1029,C0015371,Extrapyramidal Disorders,group
1030,C0015378,Extravasation of Contrast Media,phenotype
1032,C0015393,Eye Abnormalities,group
1033,C0015396,Eye Color,phenotype
1034,C0015397,Disorder of eye,group
1035,C0015398,"Eye Diseases, Hereditary",group
1048,C0015469,Facial paralysis,disease
1049,C0015499,Hereditary Factor V Deficiency,disease
1050,C0015503,Factor VII Deficiency,disease
1051,C0015519,Factor X Deficiency,disease
1052,C0015523,Hereditary Factor XI Deficiency,disease
1053,C0015526,Factor XII Deficiency,disease
1055,C0015544,Failure to Thrive,disease
1058,C0015625,Fanconi Anemia,disease
1060,C0015644,Muscular fasciculation,phenotype
1063,C0015672,Fatigue,phenotype
1064,C0015674,Chronic Fatigue Syndrome,disease
1065,C0015695,Fatty Liver,disease
1066,C0015696,"Fatty Liver, Alcoholic",disease
1067,C0015697,Arterial Fatty Streak,phenotype
1071,C0015732,Fecal Incontinence,disease
1072,C0015745,Feeding behaviors,phenotype
1078,C0015930,Fetal Distress,disease
1079,C0015934,Fetal Growth Retardation,phenotype
1081,C0015944,"Fetal Membranes, Premature Rupture",phenotype
1083,C0015967,Fever,phenotype
1088,C0016037,Fibrodysplasia Ossificans Progressiva,disease
1090,C0016045,fibroma,disease
1092,C0016049,"Fibromatosis, Gingival",disease
1095,C0016057,Fibrosarcoma,disease
1096,C0016059,Fibrosis,phenotype
1104,C0016202,Flatfoot,phenotype
1109,C0016395,Focal Dermal Hypoplasia,disease
1117,C0016506,Foot Deformities,group
1122,C0016522,"Foramen Ovale, Patent",disease
1123,C0016529,Forced expiratory volume function,phenotype
1126,C0016663,Pathological fracture,phenotype
1127,C0016667,Fragile X Syndrome,disease
1128,C0016689,Freckles,phenotype
1131,C0016719,Friedreich Ataxia,disease
1134,C0016751,Hereditary fructose intolerance syndrome,disease
1135,C0016756,"Fructose-1,6-Diphosphatase Deficiency",disease
1138,C0016788,Fucosidase Deficiency Disease,disease
1140,C0016842,Congenital pectus excavatum,disease
1144,C0016977,Gall Bladder Diseases,group
1145,C0016978,gallbladder neoplasm,disease
1147,C0017075,Ganglioneuroma,disease
1148,C0017083,Gangliosidoses,disease
1149,C0017086,Gangrene,disease
1150,C0017097,Gardner Syndrome,disease
1155,C0017152,Gastritis,disease
1160,C0017168,Gastroesophageal reflux disease,disease
1161,C0017178,Gastrointestinal Diseases,group
1162,C0017181,Gastrointestinal Hemorrhage,phenotype
1163,C0017185,Gastrointestinal Neoplasms,group
1164,C0017205,Gaucher Disease,disease
1172,C0017495,Gerstmann-Straussler-Scheinker Disease,disease
1174,C0017531,Angiolymphoid hyperplasia,disease
1177,C0017551,Gilbert Disease (disorder),disease
1179,C0017565,Gingival Hemorrhage,phenotype
1180,C0017566,Gingival Hyperplasia,phenotype
1184,C0017574,Gingivitis,disease
1187,C0017601,Glaucoma,disease
1188,C0017605,Angle Closure Glaucoma,disease
1191,C0017612,"Glaucoma, Open-Angle",disease
1193,C0017636,Glioblastoma,disease
1194,C0017638,Glioma,disease
1195,C0017639,Gliosis,phenotype
1198,C0017654,Glomerular Filtration Rate,phenotype
1200,C0017658,Glomerulonephritis,disease
1201,C0017661,IGA Glomerulonephritis,disease
1202,C0017662,"Glomerulonephritis, Membranoproliferative",disease
1203,C0017665,Membranous glomerulonephritis,disease
1204,C0017667,Nodular glomerulosclerosis,disease
1205,C0017668,Focal glomerulosclerosis,disease
1210,C0017689,Glucagonoma,disease
1211,C0017741,Glucose tolerance test,phenotype
1212,C0017919,Glycogen Storage Disease,group
1213,C0017920,Glycogen Storage Disease Type I,disease
1214,C0017921,Glycogen storage disease type II,disease
1215,C0017922,Glycogen Storage Disease Type III,disease
1216,C0017923,Glycogen Storage Disease Type IV,disease
1217,C0017924,Glycogen Storage Disease Type V,disease
1219,C0017926,Glycogen Storage Disease Type VII,disease
1221,C0017979,Glycosuria,phenotype
1222,C0017980,"Glycosuria, Renal",disease
1224,C0018021,Goiter,phenotype
1226,C0018023,Nodular Goiter,disease
1229,C0018051,Gonadal Dysgenesis,disease
1234,C0018099,Gout,disease
1237,C0018129,Graft Rejection,phenotype
1238,C0018133,Graft-vs-Host Disease,disease
1239,C0018179,"Granular Dystrophy, Corneal",disease
1240,C0018188,Granuloma,phenotype
1251,C0018213,Graves Disease,disease
1253,C0018273,Growth Disorders,group
1256,C0018418,Gynecomastia,disease
1257,C0018425,Gyrate Atrophy,disease
1259,C0018498,Hair Color,phenotype
1261,C0018520,Halitosis,phenotype
1263,C0018523,Hallervorden-Spatz Syndrome,disease
1264,C0018524,Hallucinations,disease
1265,C0018536,Hallux Valgus,disease
1267,C0018553,"Hamartoma Syndrome, Multiple",disease
1268,C0018564,Hand deformities,group
1272,C0018609,Hartnup Disease,disease
1274,C0018621,Hay fever,disease
1275,C0018671,Head and Neck Neoplasms,group
1278,C0018681,Headache,phenotype
1280,C0018776,"Hearing Loss, Central",disease
1281,C0018777,Conductive hearing loss,disease
1283,C0018781,Noise-induced hearing loss,disease
1284,C0018784,Sensorineural Hearing Loss (disorder),disease
1285,C0018790,Cardiac Arrest,disease
1287,C0018798,Congenital Heart Defects,group
1288,C0018799,Heart Diseases,group
1289,C0018800,Cardiomegaly,phenotype
1290,C0018801,Heart failure,disease
1291,C0018802,Congestive heart failure,disease
1292,C0018803,Heart Function Tests,phenotype
1293,C0018808,Heart murmur,phenotype
1294,C0018809,Heart Neoplasm,disease
1295,C0018810,heart rate,phenotype
1298,C0018816,Heart Septal Defects,group
1299,C0018817,Atrial Septal Defects,group
1300,C0018818,Ventricular Septal Defects,group
1301,C0018824,Heart valve disease,group
1309,C0018916,Hemangioma,disease
1310,C0018920,"Hemangioma, Cavernous",disease
1312,C0018923,Hemangiosarcoma,disease
1313,C0018924,Hemarthrosis,phenotype
