geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
2633,3631,INPP4A,inositol polyphosphate-4-phosphatase type I A,0.99952,0.736,0.538
2634,3632,INPP5A,inositol polyphosphate-5-phosphatase A,0.98121,0.743,0.385
2635,3633,INPP5B,inositol polyphosphate-5-phosphatase B,5.0487e-16,0.729,0.385
2636,3635,INPP5D,inositol polyphosphate-5-phosphatase D,0.97198,0.558,0.731
2637,3636,INPPL1,inositol polyphosphate phosphatase like 1,0.0023313,0.59,0.769
2638,3638,INSIG1,insulin induced gene 1,0.0012827,0.695,0.5
2639,3640,INSL3,insulin like 3,0.015764,0.604,0.538
2642,3643,INSR,insulin receptor,3.6145e-05,0.432,0.846
2644,3646,EIF3E,eukaryotic translation initiation factor 3 subunit E,0.05196,0.633,0.423
2645,3651,PDX1,pancreatic and duodenal homeobox 1,0.017775,0.53,0.654
2647,3653,IPW,imprinted in Prader-Willi syndrome,,0.682,0.423
2648,3654,IRAK1,interleukin 1 receptor associated kinase 1,0.98774,0.506,0.808
2649,3655,ITGA6,integrin subunit alpha 6,1.9014e-07,0.539,0.769
2651,3658,IREB2,iron responsive element binding protein 2,0.99991,0.619,0.577
2652,3659,IRF1,interferon regulatory factor 1,0.9909,0.468,0.769
2653,3660,IRF2,interferon regulatory factor 2,0.79793,0.575,0.769
2654,3661,IRF3,interferon regulatory factor 3,0.00011576,0.517,0.808
2655,3662,IRF4,interferon regulatory factor 4,0.85677,0.491,0.769
2656,3663,IRF5,interferon regulatory factor 5,0.0090365,0.489,0.731
2657,3664,IRF6,interferon regulatory factor 6,0.99961,0.486,0.769
2659,3667,IRS1,insulin receptor substrate 1,0.023645,0.488,0.769
2660,3669,ISG20,interferon stimulated exonuclease gene 20,0.002899,0.414,0.846
2663,3672,ITGA1,integrin subunit alpha 1,2.6124e-16,0.644,0.654
2664,3673,ITGA2,integrin subunit alpha 2,6.2805e-11,0.522,0.731
2665,3674,ITGA2B,integrin subunit alpha 2b,1.5205e-16,0.493,0.692
2666,3675,ITGA3,integrin subunit alpha 3,3.5545e-07,0.573,0.731
2667,3676,ITGA4,integrin subunit alpha 4,0.00010067,0.558,0.769
