geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
11285,55690,PACS1,phosphofurin acidic cluster sorting protein 1,0.99999,0.603,0.615
11286,55691,FRMD4A,FERM domain containing 4A,1,0.65,0.538
11287,55692,LUC7L,LUC7 like,0.46952,0.861,0.115
11290,55697,VAC14,VAC14 component of PIKFYVE complex,0.18554,0.588,0.731
11292,55699,IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial",0.081336,0.59,0.654
11295,55703,POLR3B,RNA polymerase III subunit B,1.6812e-23,0.628,0.654
11296,55704,CCDC88A,coiled-coil domain containing 88A,1,0.61,0.615
11301,55711,FAR2,fatty acyl-CoA reductase 2,0.55963,0.805,0.308
11303,55714,TENM3,teneurin transmembrane protein 3,0.99955,0.599,0.692
11305,55717,WDR11,WD repeat domain 11,1.3704e-08,0.524,0.808
11315,55729,ATF7IP,activating transcription factor 7 interacting protein,0.99993,0.543,0.769
11316,55731,FAM222B,family with sequence similarity 222 member B,0.29182,,
11318,55733,HHAT,hedgehog acyltransferase,3.246e-08,0.608,0.577
11320,55735,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,0.99893,0.89,0.077
11321,55737,VPS35,VPS35 retromer complex component,0.96921,0.656,0.5
11322,55738,ARFGAP1,ADP ribosylation factor GTPase activating protein 1,0.0015429,0.839,0.154
11323,55739,NAXD,NAD(P)HX dehydratase,0.0069972,0.839,0.231
11326,55742,PARVA,parvin alpha,0.40854,0.769,0.154
11330,55746,NUP133,nucleoporin 133,9.2587e-05,0.678,0.577
11333,55750,AGK,acylglycerol kinase,5.9973e-09,0.65,0.654
11335,55752,SEPTIN11,septin 11,0.95924,0.7,0.346
11338,55755,CDK5RAP2,CDK5 regulatory subunit associated protein 2,4.6171e-23,0.682,0.577
11342,55759,WDR12,WD repeat domain 12,0.00032559,0.769,0.192
11345,55763,EXOC1,exocyst complex component 1,0.00069012,0.792,0.154
11346,55764,IFT122,intraflagellar transport 122,2.3816e-24,0.56,0.846
11347,55765,INAVA,innate immunity activator,0.00022109,0.743,0.346
11349,55768,NGLY1,N-glycanase 1,1.5117e-13,0.601,0.654
11352,55773,TBC1D23,TBC1 domain family member 23,1.782e-05,0.729,0.308
11353,55775,TDP1,tyrosyl-DNA phosphodiesterase 1,1.2652e-17,0.612,0.538
11354,55777,MBD5,methyl-CpG binding domain protein 5,1,0.581,0.808
11357,55780,ERMARD,ER membrane associated RNA degradation,5.7789e-16,0.647,0.538
11359,55783,CMTR2,cap methyltransferase 2,5.3475e-10,0.722,0.462
11360,55784,MCTP2,multiple C2 and transmembrane domain containing 2,6.03e-52,0.623,0.577
11364,55788,LMBRD1,LMBR1 domain containing 1,9.0253e-11,0.716,0.385
11370,55795,PCID2,PCI domain containing 2,5.2663e-13,0.931,0.077
11373,55799,CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3,0.57778,0.711,0.577
11374,55800,SCN3B,sodium voltage-gated channel beta subunit 3,0.05103,0.686,0.269
11377,55803,ADAP2,ArfGAP with dual PH domains 2,4.2394e-10,0.839,0.308
11379,55806,HR,HR lysine demethylase and nuclear receptor corepressor,7.438e-10,0.722,0.192
11380,55808,ST6GALNAC1,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",1.3809e-11,0.682,0.346
11384,55812,SPATA7,spermatogenesis associated 7,5.1769e-13,0.656,0.385
11386,55814,BDP1,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",1.3294e-21,0.89,0.154
11390,55819,RNF130,ring finger protein 130,0.00030327,0.839,0.192
11392,55823,VPS11,VPS11 core subunit of CORVET and HOPS complexes,1.8905e-05,0.633,0.654
11394,55825,PECR,peroxisomal trans-2-enoyl-CoA reductase,4.0029e-08,0.89,0.192
11397,55830,GLT8D1,glycosyltransferase 8 domain containing 1,1.1343e-08,0.711,0.462
11401,55835,CENPJ,centromere protein J,2.0603e-27,0.546,0.846
11403,55839,CENPN,centromere protein N,0.0044226,1,0.077
11404,55840,EAF2,ELL associated factor 2,2.2166e-07,0.695,0.538
11406,55843,ARHGAP15,Rho GTPase activating protein 15,1.372e-08,0.682,0.462
11407,55844,PPP2R2D,protein phosphatase 2 regulatory subunit Bdelta,0.91708,0.89,0.115
11417,55858,TMEM165,transmembrane protein 165,0.28339,0.711,0.385
11422,55863,TMEM126B,transmembrane protein 126B,0.00018551,0.716,0.385
11423,55867,SLC22A11,solute carrier family 22 member 11,1.2995e-07,0.839,0.154
11424,55869,HDAC8,histone deacetylase 8,0.97707,0.511,0.885
11425,55870,ASH1L,ASH1 like histone lysine methyltransferase,1,0.623,0.577
11428,55876,GSDMB,gasdermin B,3.3446e-07,0.67,0.5
11435,55892,MYNN,myoneurin,0.57129,0.722,0.423
11437,55894,DEFB103B,defensin beta 103B,,0.572,0.731
11443,55904,KMT2E,lysine methyltransferase 2E,1,0.682,0.423
11444,55905,RNF114,ring finger protein 114,0.052109,0.839,0.077
11445,55906,ZC4H2,zinc finger C4H2-type containing,0.90752,0.561,0.731
11447,55908,ANGPTL8,angiopoietin like 8,6.8776e-12,0.65,0.577
11458,55937,APOM,apolipoprotein M,0.00095567,0.59,0.769
11461,55958,KLHL9,kelch like family member 9,0.82017,0.839,0.154
11462,55959,SULF2,sulfatase 2,0.010585,0.603,0.615
11465,55967,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12,7.427e-05,0.659,0.462
11473,55975,KLHL7,kelch like family member 7,4.559e-05,0.581,0.731
11474,55997,CFC1,"cripto, FRL-1, cryptic family 1",0.10509,0.588,0.577
11476,55999,NXF4,nuclear RNA export factor 4 pseudogene,,,
11482,56034,PDGFC,platelet derived growth factor C,0.99374,0.621,0.692
11483,56052,ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,3.622e-19,0.61,0.808
11501,56128,PCDHB8,protocadherin beta 8,1.3226e-06,1,0.038
11506,56136,PCDHA13,protocadherin alpha 13,2.4469e-14,0.931,0.077
11510,56140,PCDHA8,protocadherin alpha 8,1.2881e-18,0.931,0.077
11511,56141,PCDHA7,protocadherin alpha 7,4.98e-09,1,0.077
11515,56145,PCDHA3,protocadherin alpha 3,8.3984e-16,0.861,0.192
11516,56146,PCDHA2,protocadherin alpha 2,1.0354e-23,0.931,0.115
11517,56147,PCDHA1,protocadherin alpha 1,6.0001e-08,0.805,0.192
11519,56155,TEX14,"testis expressed 14, intercellular bridge forming factor",9.139e-36,0.78,0.231
11524,56164,STK31,serine/threonine kinase 31,0.006616,0.751,0.231
11527,56171,DNAH7,dynein axonemal heavy chain 7,1.3505e-71,0.769,0.346
11528,56172,ANKH,ANKH inorganic pyrophosphate transport regulator,0.27856,0.606,0.692
11531,56203,LMOD3,leiomodin 3,1.5519e-07,0.7,0.423
11535,56244,BTNL2,butyrophilin like 2,8.5607e-11,0.546,0.808
11537,56246,MRAP,melanocortin 2 receptor accessory protein,0.002081,0.674,0.5
11539,56253,CRTAM,cytotoxic and regulatory T cell molecule,8.0626e-09,0.89,0.231
11544,56262,LRRC8A,leucine rich repeat containing 8 VRAC subunit A,0.94398,0.644,0.692
11548,56270,WDR45B,WD repeat domain 45B,0.15624,0.76,0.269
11552,56288,PARD3,par-3 family cell polarity regulator,0.95577,0.608,0.615
11569,56547,MMP26,matrix metallopeptidase 26,5.3574e-11,0.65,0.615
11571,56603,CYP26B1,cytochrome P450 family 26 subfamily B member 1,0.97987,0.666,0.5
11574,56606,SLC2A9,solute carrier family 2 member 9,6.9451e-10,0.619,0.731
11576,56623,INPP5E,inositol polyphosphate-5-phosphatase E,0.0031048,0.561,0.615
11577,56624,ASAH2,N-acylsphingosine amidohydrolase 2,0.0042718,0.716,0.538
11583,56652,TWNK,twinkle mtDNA helicase,0.0032311,0.516,0.692
11600,56729,RETN,resistin,0.036545,0.454,0.808
11603,56776,FMN2,formin 2,0.99772,0.61,0.538
11607,56834,GPR137,G protein-coupled receptor 137,0.66798,0.686,0.231
11613,56882,CDC42SE1,CDC42 small effector 1,0.0035427,0.89,0.231
11614,56884,FSTL5,follistatin like 5,1.4042e-06,0.716,0.192
11618,56890,MDM1,Mdm1 nuclear protein,4.7231e-12,1,0.038
11627,56899,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,0.99998,0.686,0.423
11639,56916,SMARCAD1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1",1,0.656,0.423
11640,56918,C2orf83,chromosome 2 open reading frame 83,6.7173e-06,0.89,0.115
11643,56922,MCCC1,methylcrotonoyl-CoA carboxylase 1,4.0152e-12,0.7,0.308
11651,56934,CA10,carbonic anhydrase 10,0.56746,0.705,0.5
11652,56935,SMCO4,single-pass membrane protein with coiled-coil domains 4,0.00019629,,
11653,56937,PMEPA1,"prostate transmembrane protein, androgen induced 1",0.93577,0.633,0.462
11660,56945,MRPS22,mitochondrial ribosomal protein S22,1.4768e-05,0.638,0.5
11661,56946,EMSY,"EMSY transcriptional repressor, BRCA2 interacting",1,0.628,0.423
11662,56947,MFF,mitochondrial fission factor,0.065397,0.705,0.462
11664,56950,SMYD2,SET and MYND domain containing 2,2.4631e-06,0.628,0.538
11665,56952,PRTFDC1,phosphoribosyl transferase domain containing 1,2.3671e-13,0.805,0.385
11676,56975,FAM20C,FAM20C golgi associated secretory pathway kinase,0.31465,0.578,0.731
11677,56977,STOX2,storkhead box 2,0.48409,,
11678,56978,PRDM8,PR/SET domain 8,0.77626,0.678,0.462
11681,56981,PRDM11,PR/SET domain 11,0.97355,0.839,0.231
11682,56983,POGLUT1,protein O-glucosyltransferase 1,1.5575e-08,0.691,0.385
11688,56992,KIF15,kinesin family member 15,9.5235e-25,0.617,0.654
11689,56994,CHPT1,choline phosphotransferase 1,0.00024252,0.474,0.846
11692,56997,COQ8A,coenzyme Q8A,9.2856e-11,0.674,0.385
11697,57003,CCDC47,coiled-coil domain containing 47,6.1333e-08,0.678,0.462
11698,57007,ACKR3,atypical chemokine receptor 3,0.39134,0.428,0.885
11700,57010,CABP4,calcium binding protein 4,1.6786e-10,0.711,0.154
11701,57016,AKR1B10,aldo-keto reductase family 1 member B10,7.5723e-09,0.546,0.769
11707,57030,SLC17A7,solute carrier family 17 member 7,0.99988,0.636,0.308
11708,57035,RSRP1,arginine and serine rich protein 1,4.3086e-14,0.89,0.231
11717,57054,DAZ3,deleted in azoospermia 3,,0.821,0.154
11719,57057,TBX20,T-box transcription factor 20,0.97302,0.663,0.346
11721,57061,HYMAI,hydatidiform mole associated and imprinted,,0.67,0.538
11723,57082,KNL1,kinetochore scaffold 1,0.78348,0.644,0.615
11726,57088,PLSCR4,phospholipid scramblase 4,1.8979e-06,0.722,0.462
11729,57094,CPA6,carboxypeptidase A6,4.3984e-17,0.716,0.346
11731,57096,RPGRIP1,RPGR interacting protein 1,1.2632e-23,0.553,0.654
11735,57102,C12orf4,chromosome 12 open reading frame 4,1.0655e-05,0.691,0.308
11737,57104,PNPLA2,patatin like phospholipase domain containing 2,0.0041069,0.511,0.846
11738,57105,CYSLTR2,cysteinyl leukotriene receptor 2,9.9817e-05,0.633,0.538
11740,57107,PDSS2,decaprenyl diphosphate synthase subunit 2,4.3743e-08,0.626,0.577
11753,57122,NUP107,nucleoporin 107,2.5555e-09,0.595,0.5
11758,57128,LYRM4,LYR motif containing 4,0.19951,0.736,0.385
11763,57135,DAZ4,deleted in azoospermia 4,,0.861,0.154
11764,57136,APMAP,adipocyte plasma membrane associated protein,9.3261e-11,0.805,0.231
11765,57139,RGL3,ral guanine nucleotide dissociation stimulator like 3,9.9866e-32,,
11767,57142,RTN4,reticulon 4,0.45318,0.621,0.692
11769,57144,PAK5,p21 (RAC1) activated kinase 5,0.99977,0.631,0.462
11772,57148,RALGAPB,Ral GTPase activating protein non-catalytic subunit beta,1,0.659,0.577
11775,57152,SLURP1,secreted LY6/PLAUR domain containing 1,0.25934,0.56,0.654
11776,57153,SLC44A2,solute carrier family 44 member 2,0.00011917,0.743,0.462
11779,57157,PHTF2,putative homeodomain transcription factor 2,0.00017719,1,0.077
11780,57158,JPH2,junctophilin 2,4.5187e-05,0.736,0.154
11784,57165,GJC2,gap junction protein gamma 2,0.010438,0.593,0.692
11785,57167,SALL4,spalt like transcription factor 4,0.99997,0.489,0.769
11786,57169,ZNFX1,zinc finger NFX1-type containing 1,0.99983,0.78,0.192
11788,57172,CAMK1G,calcium/calmodulin dependent protein kinase IG,0.00039801,0.839,0.154
11789,57175,CORO1B,coronin 1B,4.5885e-05,0.89,0.115
11790,57176,VARS2,"valyl-tRNA synthetase 2, mitochondrial",5.8321e-17,0.666,0.577
11791,57178,ZMIZ1,zinc finger MIZ-type containing 1,0.99937,0.588,0.615
11798,57187,THOC2,THO complex 2,1,0.65,0.538
11799,57188,ADAMTSL3,ADAMTS like 3,1.3662e-19,0.729,0.346
11801,57190,SELENON,selenoprotein N,9.7863e-10,0.575,0.692
11803,57192,MCOLN1,mucolipin 1,0.00058027,0.601,0.654
11808,57210,SLC45A4,solute carrier family 45 member 4,0.00010424,,
11809,57211,ADGRG6,adhesion G protein-coupled receptor G6,6.6088e-05,0.666,0.385
11810,57212,TP73-AS1,TP73 antisense RNA 1,,0.599,0.577
11812,57214,CEMIP,cell migration inducing hyaluronidase 1,4.4023e-17,0.617,0.615
11817,57222,ERGIC1,endoplasmic reticulum-golgi intermediate compartment 1,0.64747,0.7,0.423
11820,57226,LYRM2,LYR motif containing 2,0.00025796,0.931,0.077
11822,57231,SNX14,sorting nexin 14,6.0711e-17,0.659,0.423
11828,57309,SPG14,spastic paraplegia 14 (autosomal recessive),,0.89,0.192
11833,57333,RCN3,reticulocalbin 3,3.8085e-11,0.839,0.077
11836,57338,JPH3,junctophilin 3,0.99855,0.608,0.538
11839,57369,GJD2,gap junction protein delta 2,0.19681,0.705,0.5
11840,57379,AICDA,activation induced cytidine deaminase,9.2098e-06,0.463,0.885
11842,57381,RHOJ,ras homolog family member J,0.0064012,0.686,0.308
11847,57405,SPC25,SPC25 component of NDC80 kinetochore complex,0.025506,0.729,0.346
11853,57412,AS3MT,arsenite methyltransferase,7.9768e-11,0.638,0.538
11859,57447,NDRG2,NDRG family member 2,2.2044e-05,0.518,0.692
11860,57448,BIRC6,baculoviral IAP repeat containing 6,1,0.604,0.577
11861,57449,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,3.3605e-06,0.674,0.385
11864,57453,DSCAML1,DS cell adhesion molecule like 1,1,0.839,0.346
11867,57459,GATAD2B,GATA zinc finger domain containing 2B,0.99998,0.593,0.654
11868,57460,PPM1H,"protein phosphatase, Mg2+/Mn2+ dependent 1H",0.79216,0.805,0.154
11869,57462,MYORG,myogenesis regulating glycosidase (putative),1.0871e-11,0.805,0.269
11872,57465,TBC1D24,TBC1 domain family member 24,1.2788e-08,0.53,0.808
11874,57468,SLC12A5,solute carrier family 12 member 5,1,0.57,0.654
11881,57476,GRAMD1B,GRAM domain containing 1B,0.99929,0.736,0.385
11882,57477,SHROOM4,shroom family member 4,0.99965,0.7,0.5
11883,57479,PRR12,proline rich 12,1,0.716,0.385
11884,57480,PLEKHG1,pleckstrin homology and RhoGEF domain containing G1,0.012728,0.89,0.115
11891,57491,AHRR,aryl-hydrocarbon receptor repressor,0.00018111,0.666,0.577
11892,57492,ARID1B,AT-rich interaction domain 1B,1,0.503,0.846
11898,57498,KIDINS220,kinase D interacting substrate 220,0.073562,0.534,0.769
11900,57502,NLGN4X,neuroligin 4 X-linked,0.99267,0.682,0.462
11902,57505,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",4.9777e-17,0.644,0.5
11908,57511,COG6,component of oligomeric golgi complex 6,6.3567e-16,0.644,0.577
11911,57514,ARHGAP31,Rho GTPase activating protein 31,0.99999,0.581,0.615
11913,57519,STARD9,StAR related lipid transfer domain containing 9,1.0336e-38,0.839,0.115
11914,57520,HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",0.9997,0.705,0.423
11915,57521,RPTOR,regulatory associated protein of MTOR complex 1,1,0.628,0.692
11919,57526,PCDH19,protocadherin 19,0.99975,0.599,0.462
11922,57531,HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,6.0798e-06,0.601,0.692
11925,57534,MIB1,mindbomb E3 ubiquitin protein ligase 1,3.3574e-88,0.438,0.769
11929,57538,ALPK3,alpha kinase 3,8.4158e-25,0.792,0.462
11930,57539,WDR35,WD repeat domain 35,1.0462e-22,0.525,0.692
11934,57544,TXNDC16,thioredoxin domain containing 16,9.949e-06,0.861,0.154
11935,57545,CC2D2A,coiled-coil and C2 domain containing 2A,1.6721e-27,0.532,0.692
11939,57551,TAOK1,TAO kinase 1,0.99787,0.792,0.269
11941,57553,MICAL3,"microtubule associated monooxygenase, calponin and LIM domain containing 3",0.99499,0.792,0.269
11943,57555,NLGN2,neuroligin 2,0.99974,0.722,0.269
11946,57559,STAMBPL1,STAM binding protein like 1,1.1971e-14,0.729,0.462
11947,57560,IFT80,intraflagellar transport 80,1.4059e-19,0.575,0.692
11955,57570,TRMT5,tRNA methyltransferase 5,0.049774,0.769,0.231
11957,57572,DOCK6,dedicator of cytokinesis 6,1.2563e-26,0.61,0.577
11959,57574,MARCHF4,membrane associated ring-CH-type finger 4,0.13283,1,0.038
11963,57580,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",1,0.644,0.615
11964,57582,KCNT1,potassium sodium-activated channel subfamily T member 1,2.7613e-05,0.61,0.308
11968,57586,SYT13,synaptotagmin 13,0.68807,0.805,0.192
11972,57591,MRTFA,myocardin related transcription factor A,0.99768,0.572,0.615
11975,57595,PDZD4,PDZ domain containing 4,0.84853,0.89,0.154
11976,57596,BEGAIN,brain enriched guanylate kinase associated,0.97002,0.821,0.115
11978,57599,WDR48,WD repeat domain 48,0.99985,0.628,0.615
11986,57610,RANBP10,RAN binding protein 10,0.96855,0.931,0.077
11994,57619,SHROOM3,shroom family member 3,0.31709,0.736,0.462
12000,57628,DPP10,dipeptidyl peptidase like 10,0.99999,0.695,0.577
12002,57633,LRRN1,leucine rich repeat neuronal 1,0.96996,0.805,0.231
12003,57634,EP400,E1A binding protein p400,1,0.751,0.385
12004,57636,ARHGAP23,Rho GTPase activating protein 23,0.99988,0.931,0.115
12008,57644,MYH7B,myosin heavy chain 7B,4.3419e-46,0.792,0.308
12015,57654,UVSSA,UV stimulated scaffold protein A,5.4127e-25,0.805,0.269
12019,57659,ZBTB4,zinc finger and BTB domain containing 4,0.99991,0.78,0.269
12020,57661,PHRF1,PHD and ring finger domains 1,0.056521,0.743,0.346
12026,57670,KIAA1549,KIAA1549,0.98607,0.615,0.346
12029,57678,GPAM,"glycerol-3-phosphate acyltransferase, mitochondrial",1.2373e-09,0.792,0.192
12030,57679,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,8.7204e-12,0.647,0.423
12031,57680,CHD8,chromodomain helicase DNA binding protein 8,1,0.656,0.577
12032,57683,ZDBF2,zinc finger DBF-type containing 2,0.010294,0.89,0.154
12035,57688,ZSWIM6,zinc finger SWIM-type containing 6,1,0.626,0.577
12036,57689,LRRC4C,leucine rich repeat containing 4C,0.97233,0.792,0.192
12037,57690,TNRC6C,trinucleotide repeat containing adaptor 6C,1,0.821,0.231
12041,57697,FANCM,FA complementation group M,2.3536e-15,0.543,0.731
12042,57698,SHTN1,shootin 1,0.0386,0.839,0.192
12044,57700,FAM160B1,family with sequence similarity 160 member B1,0.99898,0.861,0.192
12046,57704,GBA2,glucosylceramidase beta 2,1.9892e-20,0.636,0.654
12047,57705,WDFY4,WDFY family member 4,0.34009,0.792,0.192
12049,57707,MEAK7,"MTOR associated protein, eak-7 homolog",9.7663e-18,0.931,0.154
12051,57709,SLC7A14,solute carrier family 7 member 14,0.022116,0.695,0.308
12055,57716,PRX,periaxin,2.1337e-14,0.65,0.577
12062,57724,EPG5,ectopic P-granules autophagy protein 5 homolog,1.3508e-13,0.623,0.769
12064,57728,WDR19,WD repeat domain 19,4.632e-11,0.554,0.769
12071,57761,TRIB3,tribbles pseudokinase 3,1.1597e-13,0.573,0.692
12075,57787,MARK4,microtubule affinity regulating kinase 4,0.99777,0.641,0.615
12076,57794,SUGP1,SURP and G-patch domain containing 1,0.99568,0.623,0.615
12082,57817,HAMP,hepcidin antimicrobial peptide,0.0081797,0.433,0.846
12083,57818,G6PC2,glucose-6-phosphatase catalytic subunit 2,2.9565e-16,0.751,0.231
12087,57822,GRHL3,grainyhead like transcription factor 3,0.99292,0.572,0.692
12107,58191,CXCL16,C-X-C motif chemokine ligand 16,3.4546e-05,0.502,0.769
12112,58477,SRPRB,SRP receptor subunit beta,0.0058306,0.839,0.115
12115,58484,NLRC4,NLR family CARD domain containing 4,9.8714e-12,0.556,0.769
12119,58489,ABHD17C,abhydrolase domain containing 17C,0.95762,1,0.077
12125,58495,OVOL2,ovo like zinc finger 2,0.70889,0.633,0.462
12127,58497,PRUNE1,prune exopolyphosphatase 1,0.0091474,0.678,0.308
12133,58505,OSTC,oligosaccharyltransferase complex non-catalytic subunit,0.018353,1,0.077
12135,58508,KMT2C,lysine methyltransferase 2C,1,0.558,0.692
12140,58513,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,0.99964,0.743,0.385
12144,58524,DMRT3,doublesex and mab-3 related transcription factor 3,6.1531e-06,0.653,0.5
12148,58529,MYOZ1,myozenin 1,1.7902e-05,0.861,0.115
12152,58538,MPP4,membrane palmitoylated protein 4,3.418e-18,0.792,0.308
12155,59067,IL21,interleukin 21,0.6254,0.441,0.769
12158,59269,HIVEP3,HIVEP zinc finger 3,0.90584,0.722,0.462
12160,59272,ACE2,angiotensin I converting enzyme 2,0.99769,0.477,0.769
12171,59335,PRDM12,PR/SET domain 12,0.93018,0.839,0.231
12173,59338,PLEKHA1,pleckstrin homology domain containing A1,0.0002347,0.769,0.269
12175,59340,HRH4,histamine receptor H4,5.2213e-08,0.659,0.462
12176,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,2.237e-16,0.457,0.808
12178,59343,SENP2,SUMO specific peptidase 2,0.98262,0.663,0.577
12179,59344,ALOXE3,arachidonate lipoxygenase 3,5.1284e-20,0.644,0.538
12185,59352,LGR6,leucine rich repeat containing G protein-coupled receptor 6,2.9439e-06,0.502,0.923
12186,60312,AFAP1,actin filament associated protein 1,2.3828e-07,0.653,0.538
12192,60386,SLC25A19,solute carrier family 25 member 19,0.64923,0.653,0.577
12193,60401,EDA2R,ectodysplasin A2 receptor,0.00054689,0.736,0.423
12194,60412,EXOC4,exocyst complex component 4,3.4137e-13,0.743,0.5
12198,60468,BACH2,BTB domain and CNC homolog 2,0.99803,0.539,0.731
12199,60481,ELOVL5,ELOVL fatty acid elongase 5,0.93341,0.638,0.462
12200,60482,SLC5A7,solute carrier family 5 member 7,0.015272,0.597,0.654
12203,60487,TRMT11,tRNA methyltransferase 11 homolog,3.9134e-12,0.729,0.269
12206,60490,PPCDC,phosphopantothenoylcysteine decarboxylase,0.00047853,0.861,0.192
12210,60495,HPSE2,heparanase 2 (inactive),0.00015083,0.588,0.692
12215,60506,NYX,nyctalopin,0.12961,0.678,0.192
12216,60509,AGBL5,ATP/GTP binding protein like 5,2.3696e-08,0.711,0.269
12218,60528,ELAC2,elaC ribonuclease Z 2,1.7245e-20,0.67,0.346
12219,60529,ALX4,ALX homeobox 4,0.35736,0.56,0.692
12230,60675,PROK2,prokineticin 2,0.013828,0.555,0.769
12235,60681,FKBP10,FKBP prolyl isomerase 10,2.3826e-06,0.606,0.538
12237,60684,TRAPPC11,trafficking protein particle complex 11,4.5628e-10,0.65,0.5
12241,63035,BCORL1,BCL6 corepressor like 1,0.99999,0.682,0.5
12242,63036,CELA2A,chymotrypsin like elastase 2A,1.9736e-16,0.839,0.192
12243,63826,SRR,serine racemase,0.0057964,0.617,0.692
12248,63876,PKNOX2,PBX/knotted 1 homeobox 2,0.99174,0.743,0.5
12249,63891,RNF123,ring finger protein 123,8.4689e-05,0.736,0.269
12250,63892,THADA,THADA armadillo repeat containing,4.6208e-41,0.686,0.5
12252,63894,VIPAS39,"VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog",7.2613e-10,0.705,0.5
12253,63895,PIEZO2,piezo type mechanosensitive ion channel component 2,8.0992e-07,0.529,0.769
12257,63901,FAM111A,family with sequence similarity 111 member A,0.002225,0.663,0.462
12261,63910,SLC17A9,solute carrier family 17 member 9,6.0979e-17,0.78,0.346
12263,63916,ELMO2,engulfment and cell motility 2,1.0384e-05,0.729,0.538
12266,63922,CHTF18,chromosome transmission fidelity factor 18,3.0747e-28,0.89,0.154
12268,63924,CIDEC,cell death inducing DFFA like effector c,0.0089662,0.666,0.462
12269,63925,ZNF335,zinc finger protein 335,6.8885e-07,0.711,0.462
12272,63929,XPNPEP3,X-prolyl aminopeptidase 3,1.8555e-08,0.769,0.269
12275,63932,CXorf56,chromosome X open reading frame 56,0.95204,0.705,0.385
12293,63976,PRDM16,PR/SET domain 16,0.99999,0.522,0.808
12296,63979,FIGNL1,fidgetin like 1,0.00012046,0.805,0.385
12297,63982,ANO3,anoctamin 3,1.2489e-17,0.716,0.385
12304,64065,PERP,p53 apoptosis effector related to PMP22,0.079462,0.663,0.577
12306,64067,NPAS3,neuronal PAS domain protein 3,0.99974,0.729,0.269
12308,64072,CDH23,cadherin related 23,3.1819e-06,0.539,0.769
12316,64087,MCCC2,methylcrotonoyl-CoA carboxylase 2,4.5134e-11,0.674,0.423
12321,64093,SMOC1,SPARC related modular calcium binding 1,0.0094673,0.565,0.846
12322,64094,SMOC2,SPARC related modular calcium binding 2,0.0025279,0.67,0.462
12336,64114,TMBIM1,transmembrane BAX inhibitor motif containing 1,1.3647e-08,0.711,0.154
12338,64116,SLC39A8,solute carrier family 39 member 8,0.66924,0.584,0.769
12342,64123,ADGRL4,adhesion G protein-coupled receptor L4,2.78e-11,0.76,0.192
12343,64127,NOD2,nucleotide binding oligomerization domain containing 2,1.9834e-30,0.423,0.923
12344,64129,TINAGL1,tubulointerstitial nephritis antigen like 1,0.00032933,0.659,0.538
12346,64131,XYLT1,xylosyltransferase 1,0.92418,0.581,0.731
12347,64132,XYLT2,xylosyltransferase 2,0.92576,0.566,0.808
12348,64135,IFIH1,interferon induced with helicase C domain 1,6.9819e-44,0.471,0.808
12352,64147,KIF9,kinesin family member 9,5.4841e-22,0.805,0.192
12355,64167,ERAP2,endoplasmic reticulum aminopeptidase 2,1.0028e-28,0.615,0.577
12357,64170,CARD9,caspase recruitment domain family member 9,8.1491e-13,0.566,0.654
12359,64175,P3H1,prolyl 3-hydroxylase 1,2.2869e-20,0.736,0.231
12362,64207,IRF2BPL,interferon regulatory factor 2 binding protein like,0.83623,0.631,0.462
12366,64215,DNAJC1,DnaJ heat shock protein family (Hsp40) member C1,1.3254e-08,0.821,0.154
12368,64218,SEMA4A,semaphorin 4A,1.8394e-05,0.569,0.692
12370,64220,STRA6,signaling receptor and transporter of retinol STRA6,1.5068e-10,0.597,0.731
12371,64221,ROBO3,roundabout guidance receptor 3,1.9977e-15,0.52,0.808
12376,64231,MS4A6A,membrane spanning 4-domains A6A,8.3775e-13,0.821,0.231
12379,64240,ABCG5,ATP binding cassette subfamily G member 5,3.081e-21,0.592,0.577
12380,64241,ABCG8,ATP binding cassette subfamily G member 8,2.3838e-20,0.573,0.538
12385,64288,ZSCAN31,zinc finger and SCAN domain containing 31,3.647e-08,0.76,0.346
12389,64321,SOX17,SRY-box transcription factor 17,0.88495,0.555,0.615
12390,64324,NSD1,nuclear receptor binding SET domain protein 1,1,0.505,0.769
12392,64327,LMBR1,limb development membrane protein 1,1.2575e-08,0.619,0.308
